epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,41.8895,1.49859,3.64491,1.02619,0.01316,1,0.1517,0.04664,0.91346,3.68543,0.85012,0.00020004,0.00020004,0.00020004
2,76.2741,1.17236,1.56669,0.90929,0.01314,0.995,0.0201,0.01341,0.94151,3.58954,0.8824,0.000411593,0.000411593,0.000411593
3,110.933,0.98169,1.02279,0.88677,0.01315,1,0.27936,0.22443,0.80874,3.15461,0.84976,0.000617782,0.000617782,0.000617782
4,144.875,0.93084,0.85635,0.87716,0.01313,1,0.34076,0.2596,0.77456,3.05446,0.8353,0.000818607,0.000818607,0.000818607
5,178.739,0.96501,0.86296,0.86624,0.01314,1,0.9835,0.77768,0.82314,2.51131,0.8436,0.00101407,0.00101407,0.00101407
6,213.087,0.94103,0.81874,0.86866,0.98975,0.95236,0.99235,0.78081,0.81457,1.69569,0.84399,0.00120417,0.00120417,0.00120417
7,247.43,0.90798,0.75907,0.85932,0.9831,1,0.99194,0.7708,0.85382,1.29401,0.85513,0.0013889,0.0013889,0.0013889
8,281.557,0.92491,0.76024,0.87952,0.98051,1,0.99097,0.73129,0.95114,1.01361,0.87215,0.0015226,0.0015226,0.0015226
9,315.378,0.89071,0.68826,0.87362,0.98073,1,0.99225,0.71888,1.04866,0.84466,0.90495,0.00150197,0.00150197,0.00150197
10,349.417,0.91905,0.7168,0.87922,0.98759,1,0.98786,0.78978,0.80278,0.71778,0.84533,0.00148134,0.00148134,0.00148134
11,383.182,0.89766,0.67247,0.86823,0.98793,1,0.98962,0.79213,0.79458,0.64784,0.84013,0.00146071,0.00146071,0.00146071
12,416.782,0.87622,0.64428,0.86433,0.98766,1,0.99318,0.82094,0.70565,0.51565,0.83163,0.00144008,0.00144008,0.00144008
13,449.864,0.82519,0.6083,0.8555,0.98903,1,0.99317,0.81111,0.73059,0.50402,0.83136,0.00141945,0.00141945,0.00141945
14,483.231,0.84375,0.6036,0.86428,0.98804,1,0.99276,0.82356,0.69233,0.52758,0.82836,0.00139882,0.00139882,0.00139882
15,516.177,0.87703,0.62079,0.8592,0.9885,1,0.99374,0.74105,0.93529,0.54108,0.86962,0.00137819,0.00137819,0.00137819
16,548.206,0.8722,0.59319,0.8582,0.98894,1,0.99353,0.81992,0.67582,0.50456,0.82286,0.00135756,0.00135756,0.00135756
17,580.714,0.84367,0.59436,0.85606,0.98884,1,0.9907,0.82782,0.66746,0.47668,0.81998,0.00133693,0.00133693,0.00133693
18,613.98,0.80798,0.57525,0.8432,0.9889,1,0.99131,0.83377,0.66909,0.49778,0.82053,0.0013163,0.0013163,0.0013163
19,646.265,0.82298,0.55508,0.84474,0.98889,1,0.98901,0.85046,0.59365,0.44836,0.8114,0.00129568,0.00129568,0.00129568
20,678.388,0.81503,0.54033,0.85306,0.98907,1,0.99083,0.83934,0.63371,0.42068,0.81549,0.00127505,0.00127505,0.00127505
21,711.017,0.79582,0.5262,0.8522,0.9892,1,0.99249,0.83494,0.6639,0.42401,0.82214,0.00125442,0.00125442,0.00125442
22,743.498,0.8172,0.51016,0.85274,0.98916,1,0.98862,0.8251,0.70545,0.42865,0.82718,0.00123379,0.00123379,0.00123379
23,776.49,0.78008,0.5166,0.84603,0.98896,1,0.98732,0.80598,0.75004,0.42478,0.83279,0.00121316,0.00121316,0.00121316
24,808.681,0.80496,0.50294,0.84395,0.98734,1,0.99369,0.77795,0.85479,0.46456,0.84501,0.00119253,0.00119253,0.00119253
25,841.39,0.74932,0.48627,0.84049,0.98912,1,0.99454,0.81561,0.7166,0.41781,0.82363,0.0011719,0.0011719,0.0011719
26,873.865,0.77258,0.48459,0.84201,0.98892,1,0.99171,0.82118,0.70103,0.46919,0.82309,0.00115127,0.00115127,0.00115127
27,906.984,0.77078,0.49924,0.84232,0.98884,1,0.9891,0.80873,0.76346,0.45516,0.83266,0.00113064,0.00113064,0.00113064
